,Unnamed: 0,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,expected_incorrect_calls,correct_calls,expected_correct_calls,correct_calls_above_expected,accuracy,expected_accuracy,accuracy_above_expected,consistency,favor_home,total_run_impact,expected_consistency,expected_consistency,games_umpired,experience
0,0,9/30/2023,Angel Hernandez,DET,CLE,8,0,177,7,11.7,170,165.3,4.7,96,93.4,2.7,93.8,-0.36,0.8,92.36,92.36,10,Rookie
1,1,9/27/2023,Angel Hernandez,PHI,PIT,7,6,156,8,9.2,148,146.8,1.2,94.9,94.1,0.7,93.6,-0.29,1.07,92.36,92.36,10,Rookie
2,2,9/14/2023,Angel Hernandez,PIT,WSH,2,0,93,15,7,78,86,-8,83.9,92.5,-8.6,91.4,-0.9,1.62,92.36,92.36,10,Rookie
3,3,9/10/2023,Angel Hernandez,NYY,MIL,4,3,203,12,11.5,191,191.5,-0.5,94.1,94.3,-0.2,93.1,-0.63,2.09,92.36,92.36,10,Rookie
4,4,9/6/2023,Angel Hernandez,MIA,LAD,11,4,159,15,10.1,144,148.9,-4.9,90.6,93.7,-3.1,92.5,-0.34,1.32,92.36,92.36,10,Rookie
5,5,9/1/2023,Angel Hernandez,COL,TOR,9,13,175,19,11.4,156,163.6,-7.6,89.1,93.5,-4.4,92,0.85,2.93,92.36,92.36,10,Rookie
6,6,8/20/2023,Angel Hernandez,ATL,SF,3,4,175,13,11.7,162,163.3,-1.3,92.6,93.3,-0.8,90.9,0.71,1.37,92.36,92.36,10,Rookie
7,7,8/16/2023,Angel Hernandez,KC,SEA,5,6,151,12,6.9,139,144.1,-5.1,92.1,95.4,-3.4,90.7,0.1,1.38,92.36,92.36,10,Rookie
8,8,8/12/2023,Angel Hernandez,MIA,NYY,3,1,123,13,8.1,110,114.9,-4.9,89.4,93.4,-4,89.4,-0.68,1.22,92.36,92.36,10,Rookie
9,9,8/2/2023,Angel Hernandez,WSH,MIL,3,2,133,9,7.2,124,125.8,-1.8,93.2,94.6,-1.4,96.2,-0.29,0.73,92.36,92.36,10,Rookie
10,10,9/30/2023,Alfonso Marquez,TOR,TB,5,7,160,10,8,150,152,-2,93.8,95,-1.3,95,0.5,1.56,93.24285714285716,93.24285714285715,28,Rookie
11,11,9/27/2023,Alfonso Marquez,NYM,MIA,11,2,175,7,10.9,168,164.1,3.9,96,93.8,2.2,91.4,-0.66,0.82,93.24285714285716,93.24285714285715,28,Rookie
12,12,9/21/2023,Alfonso Marquez,WSH,ATL,3,10,190,13,15.3,177,174.7,2.3,93.2,91.9,1.2,95.8,-1.16,2.1,93.24285714285716,93.24285714285715,28,Rookie
13,13,9/9/2023,Alfonso Marquez,TEX,OAK,3,2,189,16,13.2,173,175.8,-2.8,91.5,93,-1.5,89.9,0.28,1.82,93.24285714285716,93.24285714285715,28,Rookie
14,14,9/4/2023,Alfonso Marquez,LAA,BAL,3,6,141,6,8.7,135,132.3,2.7,95.7,93.8,1.9,91.5,-0.16,0.64,93.24285714285716,93.24285714285715,28,Rookie
15,15,8/22/2023,Alfonso Marquez,AZ,TEX,6,3,152,4,9.8,148,142.2,5.8,97.4,93.5,3.8,96.7,-0.42,0.64,93.24285714285716,93.24285714285715,28,Rookie
16,16,8/16/2023,Alfonso Marquez,TOR,PHI,4,9,138,12,10.6,126,127.4,-1.4,91.3,92.3,-1,93.5,0.2,1.18,93.24285714285716,93.24285714285715,28,Rookie
17,17,8/11/2023,Alfonso Marquez,HOU,LAA,11,3,134,7,4.8,127,129.2,-2.2,94.8,96.4,-1.6,95.5,0.08,0.68,93.24285714285716,93.24285714285715,28,Rookie
18,18,7/30/2023,Alfonso Marquez,ATL,MIL,8,6,150,10,9.4,140,140.6,-0.6,93.3,93.7,-0.4,92.7,0.12,1.22,93.24285714285716,93.24285714285715,28,Rookie
19,19,7/25/2023,Alfonso Marquez,NYY,NYM,3,9,170,13,14,157,156,1,92.4,91.8,0.6,92.9,-0.42,1.32,93.24285714285716,93.24285714285715,28,Rookie
20,20,7/20/2023,Alfonso Marquez,KC,DET,0,3,129,5,7,124,122,2,96.1,94.6,1.6,96.1,0.12,0.26,93.24285714285716,93.24285714285715,28,Rookie
21,21,7/9/2023,Alfonso Marquez,CWS,STL,3,4,134,9,5.4,125,128.6,-3.6,93.3,96,-2.7,94,0.57,1.41,93.24285714285716,93.24285714285715,28,Rookie
22,22,7/5/2023,Alfonso Marquez,SF,SEA,2,0,123,5,6.9,118,116.1,1.9,95.9,94.4,1.5,95.9,-0.21,0.35,93.24285714285716,93.24285714285715,28,Rookie
23,23,7/1/2023,Alfonso Marquez,LAA,AZ,1,3,161,9,8.9,152,152.1,-0.1,94.4,94.5,-0.1,95,-0.08,1.4,93.24285714285716,93.24285714285715,28,Rookie
24,24,6/25/2023,Alfonso Marquez,DET,MIN,3,6,187,8,10.2,179,176.8,2.2,95.7,94.6,1.2,95.2,-0.11,0.77,93.24285714285716,93.24285714285715,28,Rookie
25,25,6/20/2023,Alfonso Marquez,PHI,ATL,2,4,143,3,8.2,140,134.8,5.2,97.9,94.3,3.6,95.8,0.49,0.49,93.24285714285716,93.24285714285715,28,Rookie
26,26,6/15/2023,Alfonso Marquez,TEX,LAA,3,5,157,9,9.6,148,147.4,0.6,94.3,93.9,0.4,92.4,-0.4,1.24,93.24285714285716,93.24285714285715,28,Rookie
27,27,6/4/2023,Alfonso Marquez,MIA,OAK,7,5,130,5,8.8,125,121.2,3.8,96.2,93.3,2.9,90.8,-0.01,0.39,93.24285714285716,93.24285714285715,28,Rookie
28,28,5/30/2023,Alfonso Marquez,BAL,CLE,8,5,151,12,10.1,139,140.9,-1.9,92.1,93.3,-1.2,92.1,0.05,1.75,93.24285714285716,93.24285714285715,28,Rookie
29,29,5/17/2023,Alfonso Marquez,SD,KC,3,4,170,16,10.3,154,159.7,-5.7,90.6,93.9,-3.3,92.9,-0.33,2.07,93.24285714285716,93.24285714285715,28,Rookie
30,30,5/12/2023,Alfonso Marquez,AZ,SF,7,5,171,11,14.5,160,156.5,3.5,93.6,91.5,2,90.6,1.77,2.33,93.24285714285716,93.24285714285715,28,Rookie
31,31,5/8/2023,Alfonso Marquez,MIL,LAD,9,3,133,10,10.1,123,122.9,0.1,92.5,92.4,0.1,88,-0.05,0.87,93.24285714285716,93.24285714285715,28,Rookie
32,32,4/29/2023,Alfonso Marquez,SD,SF,16,11,230,23,15.2,207,214.8,-7.8,90,93.4,-3.4,91.3,0.48,3.46,93.24285714285716,93.24285714285715,28,Rookie
33,33,4/24/2023,Alfonso Marquez,ATL,MIA,11,0,134,9,8.7,125,125.3,-0.3,93.3,93.5,-0.2,93.3,-0.27,0.91,93.24285714285716,93.24285714285715,28,Rookie
34,34,4/21/2023,Alfonso Marquez,MIL,BOS,3,5,161,9,9.5,152,151.5,0.5,94.4,94.1,0.3,94.4,-0.11,0.71,93.24285714285716,93.24285714285715,28,Rookie
35,35,4/11/2023,Alfonso Marquez,LAA,WSH,2,0,159,19,13.1,140,145.9,-5.9,88.1,91.7,-3.7,91.2,-0.42,1.78,93.24285714285716,93.24285714285715,28,Rookie
36,36,4/7/2023,Alfonso Marquez,AZ,LAD,6,3,175,14,13.4,161,161.6,-0.6,92,92.3,-0.3,92.6,0.91,1.95,93.24285714285716,93.24285714285715,28,Rookie
37,37,4/3/2023,Alfonso Marquez,OAK,CLE,11,12,176,14,11.6,162,164.4,-2.4,92,93.4,-1.4,94.3,-0.02,1.38,93.24285714285716,93.24285714285715,28,Rookie
38,38,9/30/2023,Quinn Wolcott,NYM,PHI,4,3,147,7,10.7,140,136.3,3.7,95.2,92.7,2.5,95.2,0.26,1.08,94.81724137931032,94.81724137931033,29,Rookie
39,39,9/25/2023,Quinn Wolcott,NYY,AZ,6,4,169,7,11.9,162,157.1,4.9,95.9,92.9,2.9,95.9,-0.42,1,94.81724137931032,94.81724137931033,29,Rookie
40,40,9/17/2023,Quinn Wolcott,MIA,ATL,16,2,175*,7*,11.3*,168*,163.7*,4.3*,96*,93.5*,2.5*,93.1,-0.01*,0.97*,94.81724137931032,94.81724137931033,29,Rookie
41,41,9/14/2023,Quinn Wolcott,DET,CIN,8,2,140,7,10,133,130,3,95,92.9,2.1,95,0.88,1.04,94.81724137931032,94.81724137931033,29,Rookie
42,42,9/9/2023,Quinn Wolcott,HOU,SD,7,5,176,7,8.2,169,167.8,1.2,96,95.3,0.7,91.5,0.39,1.11,94.81724137931032,94.81724137931033,29,Rookie
43,43,9/4/2023,Quinn Wolcott,AZ,COL,4,2,116,3,7,113,109,4,97.4,94,3.4,97.4,-0.08,0.24,94.81724137931032,94.81724137931033,29,Rookie
44,44,8/25/2023,Quinn Wolcott,SEA,KC,7,5,160,5,9.2,155,150.8,4.2,96.9,94.2,2.6,96.2,0.33,0.73,94.81724137931032,94.81724137931033,29,Rookie
45,45,8/16/2023,Quinn Wolcott,MIA,HOU,5,12,169,6,9.7,163,159.3,3.7,96.4,94.3,2.2,94.1,0.34,0.56,94.81724137931032,94.81724137931033,29,Rookie
46,46,8/12/2023,Quinn Wolcott,TB,CLE,6,5,147,7,10.2,140,136.8,3.2,95.2,93.1,2.2,95.9,0.35,1.11,94.81724137931032,94.81724137931033,29,Rookie
47,47,8/5/2023,Quinn Wolcott,LAA,SEA,2,3,136,7,6.9,129,129.1,-0.1,94.9,94.9,0,94.1,0.28,0.8,94.81724137931032,94.81724137931033,29,Rookie
48,48,8/1/2023,Quinn Wolcott,HOU,CLE,2,0,115,3,6.6,112,108.4,3.6,97.4,94.2,3.2,96.5,0.15,0.23,94.81724137931032,94.81724137931033,29,Rookie
49,49,7/28/2023,Quinn Wolcott,SF,BOS,2,3,106,6,9,100,97,3,94.3,91.5,2.9,91.5,-0.31,0.83,94.81724137931032,94.81724137931033,29,Rookie
50,50,7/5/2023,Quinn Wolcott,WSH,CIN,2,9,191,6,11.1,185,179.9,5.1,96.9,94.2,2.7,95.3,0.02,0.74,94.81724137931032,94.81724137931033,29,Rookie
