,id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,expected_incorrect_calls,correct_calls,expected_correct_calls,correct_calls_above_expected,accuracy,expected_accuracy,accuracy_above_expected,consistency,favor_home,total_run_impact,games_umped,experience
0,1,11/5/2022,Lance Barksdale,HOU,PHI,4,1,124,4,10,120,114,6,96.8,92,4.8,97.6,0.09,0.75,221,Seasoned
1,71,10/4/2022,Lance Barksdale,OAK,LAA,2,1,125,9,7.7,116,117.3,-1.3,92.8,93.9,-1.1,92,-0.38,0.84,221,Seasoned
2,131,9/30/2022,Lance Barksdale,SD,CWS,1,3,150,9,8.7,141,141.3,-0.3,94,94.2,-0.2,92.7,0.12,0.96,221,Seasoned
3,191,9/25/2022,Lance Barksdale,LAD,STL,4,1,133,13,9.3,120,123.7,-3.7,90.2,93,-2.8,88.7,0.09,1.89,221,Seasoned
4,247,9/21/2022,Lance Barksdale,COL,SF,1,6,131,8,7.4,123,123.6,-0.6,93.9,94.4,-0.5,95.4,-0.89,0.95,221,Seasoned
5,442,9/6/2022,Lance Barksdale,TB,BOS,8,4,138,5,9.2,133,128.8,4.2,96.4,93.3,3.1,91.3,-0.24,0.64,221,Seasoned
6,651,8/21/2022,Lance Barksdale,PIT,CIN,5,9,156,5,9.6,151,146.4,4.6,96.8,93.9,2.9,96.2,-0.1,0.54,221,Seasoned
7,728,8/16/2022,Lance Barksdale,CLE,DET,3,4,150,6,9.9,144,140.1,3.9,96,93.4,2.6,93.3,0.01,0.49,221,Seasoned
8,766,8/13/2022,Lance Barksdale,MIA,ATL,2,5,139,8,10,131,129,2,94.2,92.8,1.4,94.2,1.17,1.69,221,Seasoned
9,855,8/7/2022,Lance Barksdale,LAD,SD,4,0,117,7,10.4,110,106.6,3.4,94,91.1,2.9,94.9,0.09,0.71,221,Seasoned
10,991,7/28/2022,Lance Barksdale,HOU,SEA,4,2,130,5,8.9,125,121.1,3.9,96.2,93.1,3,92.3,-0.31,0.31,221,Seasoned
11,1046,7/24/2022,Lance Barksdale,OAK,TEX,8,11,162,9,14.3,153,147.7,5.3,94.4,91.2,3.3,95.7,0.06,2.54,221,Seasoned
12,1200,7/9/2022,Lance Barksdale,BAL,LAA,1,0,138,7,11.4,131,126.6,4.4,94.9,91.8,3.2,94.9,-1.03,1.89,221,Seasoned
13,1260,7/5/2022,Lance Barksdale,PIT,NYY,5,2,170,10,9.9,160,160.1,-0.1,94.1,94.2,0,91.8,-0.19,1.45,221,Seasoned
14,1319,7/1/2022,Lance Barksdale,WSH,MIA,3,6,139,6,9.9,133,129.1,3.9,95.7,92.8,2.8,95.7,-0.01,0.57,221,Seasoned
15,1353,6/28/2022,Lance Barksdale,CLE,MIN,3,2,145,8,6.9,137,138.1,-1.1,94.5,95.3,-0.8,93.8,-0.4,0.8,221,Seasoned
16,1396,6/25/2022,Lance Barksdale,STL,CHC,5,3,164,9,16.6,155,147.4,7.6,94.5,89.9,4.6,92.7,0.75,1.83,221,Seasoned
17,1481,6/19/2022,Lance Barksdale,COL,SD,8,3,167,11,16.1,156,150.9,5.1,93.4,90.4,3,94,0.28,2.1,221,Seasoned
18,1537,6/15/2022,Lance Barksdale,BOS,OAK,10,1,163,9,12.6,154,150.4,3.6,94.5,92.3,2.2,90.2,-1.14,1.86,221,Seasoned
19,1604,6/10/2022,Lance Barksdale,DET,TOR,1,10,147,6,10.5,141,136.5,4.5,95.9,92.8,3.1,95.9,-0.4,0.98,221,Seasoned
20,1682,6/4/2022,Lance Barksdale,TEX,SEA,3,2,147,8,9.1,139,137.9,1.1,94.6,93.8,0.8,90.5,-1.18,1.32,221,Seasoned
